,id,year,week,inventory_doc,material,designation,type,unit,division,store,supplier,theoritical_quantity,entred_quantity,deviation,deviation_cost,dev,date_catchment,corrected_by,catchment,delete,refecrence_inventory,inventory_number,Tys,company,currency,rate,deviation_cost_euro,week_date_cpt,year_date_cpt,percent_gap,stock_accuracy
0,692019,2022,33,100808820,4930423,Rule_DELA105105_FACOM_300 mm,POUT,U,2110,2001,,21.00,0.00,-21.00,0.00,TND,2022-08-17,L0026595,X,,,,1,LTN1,TND,3.3,0.0,33,2022,-100.0,True
1,692771,2022,33,100808798,4931124,Pack.spe_FLEURET_Specif tray A320-20VU,POUT,U,2110,2001,,82.00,200.00,118.00,0.00,TND,2022-08-16,L0026595,X,,,,1,LTN1,TND,3.3,0.0,33,2022,143.90243902439025,False
2,693232,2022,33,100808802,IS0001045S,01C0A30204G08A6,CA,U,2110,2001,,0.00,1.00,1.00,37.72,TND,2022-08-16,L0026595,X,,,,1,LTN1,TND,3.3,124.4727,33,2022,100.0,False
3,693444,2022,33,100758907,IS0001084S,01C0A30222G16A7001,CA,U,2500,2001,,4.00,2.00,-2.00,0.00,INR,2022-08-18,,X,,QTY_GAP,,1,LIN1,INR,88.2,0.0,33,2022,-50.0,True
4,693690,2022,33,100758927,IS0001146S,01C0A30924166001,CA,U,2500,2001,,3.00,3.00,0.00,0.00,INR,2022-08-18,,X,,,,1,LIN1,INR,88.2,0.0,33,2022,0.0,True
5,693692,2022,33,100758928,IS0001147S,01C0A30924207001,CA,U,2500,2001,,2.00,2.00,0.00,0.00,INR,2022-08-18,,X,,,,1,LIN1,INR,88.2,0.0,33,2022,0.0,True
6,694205,2022,33,100758962,IS0001253S,01C0A5414801217,CA,U,2500,2001,,4.00,4.00,0.00,0.00,INR,2022-08-18,,X,,,,1,LIN1,INR,88.2,0.0,33,2022,0.0,True
7,694397,2022,33,100808816,IS0001296S,01C0A5414814157001,CA,U,2110,2001,,13.00,15.00,2.00,213.11,TND,2022-08-16,L0026595,X,,,,1,LTN1,TND,3.3,703.2762,33,2022,15.384615384615385,False
8,694534,2022,33,100758983,IS0001326S,01C0A5414823216001,CA,U,2500,2001,,2.00,2.00,0.00,0.00,INR,2022-08-18,,X,,,,1,LIN1,INR,88.2,0.0,33,2022,0.0,True
9,694990,2022,33,100808800,IS0001425S,01C0A54148S02110,CA,U,2110,2001,,0.00,1.00,1.00,100.09,TND,2022-08-16,L0026595,X,,,,1,LTN1,TND,3.3,330.29367,33,2022,100.0,False
10,695037,2022,33,100758994,IS0001438S,01C0A600CAP243D6,CA,U,2500,2001,,3.00,3.00,0.00,0.00,INR,2022-08-18,,X,,,,1,LIN1,INR,88.2,0.0,33,2022,0.0,True
11,695277,2022,33,100800658,IS0001483S,01C0F383P16G08QS6001,CA,U,2110,2001,,1.00,0.00,-1.00,0.00,TND,2022-08-18,,X,,QTY_GAP,,1,LTN1,TND,3.3,0.0,33,2022,-100.0,True
12,695459,2022,33,100808800,IS0001523S,01C0F5136G79NNNN,CA,U,2110,2001,,0.00,1.00,1.00,270.93,TND,2022-08-16,L0026595,X,,,,1,LTN1,TND,3.3,894.069,33,2022,100.0,False
13,695460,2022,33,100808801,IS0001523S,01C0F5136G79NNNN,CA,U,2110,2001,,1.00,2.00,1.00,270.93,TND,2022-08-16,L0026595,X,,,,1,LTN1,TND,3.3,894.069,33,2022,100.0,False
14,696662,2022,33,100808802,IS0001773S,01C0R541480CW2335PNL,CA,U,2110,2001,,0.00,1.00,1.00,62.83,TND,2022-08-16,L0026595,X,,,,1,LTN1,TND,3.3,207.3456,33,2022,100.0,False
15,699041,2022,33,100808807,IS0002196S,01FFFPF210,CA,ML,2300,2001,,220.00,220.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
16,699042,2022,33,100808807,IS0002196S,01FFFPF210,CA,ML,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
17,699558,2022,33,100808807,IS0002297S,01PR0TMS1W34,CA,U,2300,2001,,1000.00,1000.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
18,699570,2022,33,100808807,IS0002299S,01PR0TMS2W12,CA,U,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
19,699604,2022,33,100808807,IS0002304S,01PR0TMS2W34,CA,U,2300,2001,,1000.00,1000.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
20,699981,2022,33,100808807,IS0002405S,100028600,CA,U,2300,2001,,733.00,733.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
21,700000,2022,33,100808807,IS0002412S,1042575,CA,U,2300,2001,,41.00,41.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
22,700014,2022,33,100808807,IS0002417S,111SM1T,CA,U,2300,2001,,269.00,269.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
23,700032,2022,33,100808807,IS0002423S,12022G,CA,U,2300,2001,,135.00,135.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
24,700074,2022,33,100808807,IS0002570S,14450223,CA,U,2300,2001,,493.00,493.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
25,700079,2022,33,100808807,IS0002571S,14450225,CA,U,2300,2001,,208.00,208.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
26,700111,2022,33,100808807,IS0002581S,16001760,CA,U,2300,2001,,71.00,71.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
27,700145,2022,33,100808807,IS0002607S,1721591,CA,U,2300,2001,,380.00,380.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
28,700480,2022,33,100808807,IS0002800S,3506907,CA,U,2300,2001,,335.00,339.00,4.00,2.24,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,2.24,33,2022,1.1940298507462688,False
29,700492,2022,33,100808807,IS0002803S,3507801,CA,U,2300,2001,,275.00,275.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
30,700519,2022,33,100808807,IS0002807S,3530174,CA,U,2300,2001,,31.00,31.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
31,700527,2022,33,100808807,IS0002808S,3530175,CA,U,2300,2001,,33.00,33.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
32,700593,2022,33,100808807,IS0002837S,3M6015MM,CA,M,2300,2001,,66.00,66.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
33,700594,2022,33,100808807,IS0002837S,3M6015MM,CA,M,2300,2001,,231.00,231.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
34,700595,2022,33,100808807,IS0002837S,3M6015MM,CA,M,2300,2001,,165.00,165.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
35,700654,2022,33,100808807,IS0002845S,430300009,CA,U,2300,2001,,128.00,128.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
36,700670,2022,33,100808807,IS0002850S,440HM198Z10902D,CA,U,2300,2001,,184.00,183.00,-1.00,94.13,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,94.13,33,2022,-0.5434782608695652,True
37,700717,2022,33,100808784,IS0002860S,487190,CA,U,2300,2001,,3269.00,3288.00,19.00,50.54,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,50.54,33,2022,0.5812174977057204,True
38,700723,2022,33,100808807,IS0002861S,487191,CA,U,2300,2001,,1338.00,1338.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
39,700750,2022,33,100808784,IS0002895S,600052,CA,U,2300,2001,,13.00,13.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
40,700753,2022,33,100790590,IS0002895S,600052,CA,U,2500,2001,,80.00,80.00,0.00,0.00,INR,2022-08-17,,X,,,,1,LIN1,INR,88.2,0.0,33,2022,0.0,True
41,700817,2022,33,100808807,IS0002899S,601R5202117BOMB,CA,U,2300,2001,,34.00,34.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
42,700910,2022,33,100808807,IS0003024S,6409031,CA,U,2300,2001,,256.00,256.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
43,702550,2022,33,100800711,IS0003117S,6925006600/A32-106,CC,U,2110,2001,,44.00,43.00,-1.00,0.00,TND,2022-08-18,,X,,QTY_GAP,,1,LTN1,TND,3.3,0.0,33,2022,-2.272727272727273,True
44,702557,2022,33,100800712,IS0003118S,6925006900/A32-106,CC,U,2110,2001,,96.00,54.00,-42.00,0.00,TND,2022-08-18,,X,,QTY_GAP,,1,LTN1,TND,3.3,0.0,33,2022,-43.75,True
45,702570,2022,33,100800713,IS0003119S,6925007000/A32-106,CC,U,2110,2001,,61.00,65.00,4.00,0.00,TND,2022-08-18,,X,,QTY_GAP,,1,LTN1,TND,3.3,0.0,33,2022,6.557377049180328,False
46,702575,2022,33,100800714,IS0003120S,6925007400/A32-106,CC,U,2110,2001,,43.00,41.00,-2.00,0.00,TND,2022-08-18,,X,,QTY_GAP,,1,LTN1,TND,3.3,0.0,33,2022,-4.651162790697675,True
47,702586,2022,33,100800715,IS0003121S,6925007700/A32-107,CC,U,2110,2001,,267.00,266.00,-1.00,0.00,TND,2022-08-18,,X,,,,1,LTN1,TND,3.3,0.0,33,2022,-0.37453183520599254,True
48,702593,2022,33,100800716,IS0003122S,6925007800/A32-107,CC,U,2110,2001,,67.00,66.00,-1.00,0.00,TND,2022-08-18,,X,,QTY_GAP,,1,LTN1,TND,3.3,0.0,33,2022,-1.4925373134328357,True
49,702605,2022,33,100800717,IS0003123S,6925008000/A32-106,CC,U,2110,2001,,47.00,46.00,-1.00,0.00,TND,2022-08-18,,X,,QTY_GAP,,1,LTN1,TND,3.3,0.0,33,2022,-2.127659574468085,True
50,702616,2022,33,100800718,IS0003124S,6925008400/A32-106,CC,U,2110,2001,,114.00,74.00,-40.00,0.00,TND,2022-08-18,,X,,QTY_GAP,,1,LTN1,TND,3.3,0.0,33,2022,-35.08771929824561,True
51,702638,2022,33,100800719,IS0003126S,6925010100/A32-107,CC,U,2110,2001,,168.00,168.00,0.00,0.00,TND,2022-08-18,,X,,,,1,LTN1,TND,3.3,0.0,33,2022,0.0,True
