,id,year,week,inventory_doc,material,designation,type,unit,division,store,supplier,theoritical_quantity,entred_quantity,deviation,deviation_cost,dev,date_catchment,corrected_by,catchment,delete,refecrence_inventory,inventory_number,Tys,company,currency,rate,deviation_cost_euro,week_date_cpt,year_date_cpt
0,2677253,2022,39,100791030,IS0001018S,01APP32041RT25M03202B,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-07-04,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,27,2022
1,2677287,2022,39,100791030,IS0001021S,01APP320602811L02,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-07-04,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,27,2022
2,2677957,2022,39,100791030,IS0001063S,01C0A30212R12A1001,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-07-04,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,27,2022
3,2678337,2022,39,100791030,IS0001088S,01C0A30222G24A7001,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-07-04,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,27,2022
4,2678767,2022,39,100775819,IS0001120S,01C0A30808RE638,CA,U,2010,2001,,28.00,28.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
5,2679265,2022,39,100775819,IS0001159S,01C0A310FC20,CA,U,2010,2001,,191.00,191.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
6,2679341,2022,39,100775819,IS0001163S,01C0A3682FC20,CA,U,2010,2001,,175.00,175.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
7,2680324,2022,39,100775819,IS0001230S,01C0A513CHE51D7L,CA,U,2010,2001,,3.00,3.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
8,2680371,2022,39,100766029,IS0001232S,01C0A513CHE61C7L,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
9,2680544,2022,39,100766029,IS0001242S,01C0A54143FC20,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
10,2682810,2022,39,100766029,IS0001391S,01C0A541485717A7H,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
11,2682864,2022,39,100766029,IS0001395S,01C0A541485817A7H,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
12,2682963,2022,39,100775819,IS0001402S,01C0A541485911A7C,CA,U,2010,2001,,109.00,109.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
13,2683125,2022,39,100766029,IS0001419S,01C0A54148FC08,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
14,2683157,2022,39,100775819,IS0001420S,01C0A54148FC12,CA,U,2010,2001,,5.00,5.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
15,2683193,2022,39,100775819,IS0001421S,01C0A54148FC16,CA,U,2010,2001,,10.00,10.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
16,2683219,2022,39,100775819,IS0001422S,01C0A54148FC20,CA,U,2010,2001,,85.00,85.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
17,2683569,2022,39,100775819,IS0001444S,01C0ABDS1,CA,U,2010,2001,,123.00,123.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
18,2683581,2022,39,100766029,IS0001445S,01C0ABDS2,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
