,id,year,week,purchase_requisition,item_of_requisition,deletion_indicator,purchasing_group,material,division,transferring_division,qte_requested,requisition_date,release_date,valuation_price,base_price,supplier,outline_agreement,principal_agmt_item,purchase_order,purchase_order_item,value
0,158523,2022,41,110840352,10,,X01,4931545,2310,0,300.0,2021-04-21,2021-06-07,0.0,0.0,FX0288,,0,,0,0.0
1,158454,2022,41,106782475,10,,A07,4930814,2500,0,4.0,2021-01-09,2022-10-08,0.0,0.0,,,0,,0,0.0
2,158489,2022,41,110006833,10,,MA0,4930602,2400,0,9.0,2021-03-27,2020-12-21,0.0,0.0,FM0136,,0,,0,0.0
3,158492,2022,41,110449400,10,,MA0,4930874,2400,0,5.0,2021-04-06,2020-12-21,0.0,0.0,F05699,4600002213.0,1730,,0,0.0
4,158494,2022,41,110679702,10,,MA0,4930465,2400,0,3.0,2021-04-17,2020-12-30,0.0,0.0,F05699,4600002213.0,790,,0,0.0
5,158495,2022,41,110840264,10,,X01,4930742,2310,0,100.0,2021-04-21,2021-06-07,0.0,0.0,FX0303,,0,,0,0.0
6,158496,2022,41,110840267,10,,X01,4930744,2310,0,50.0,2021-04-21,2021-06-07,0.0,0.0,FX0287,,0,,0,0.0
7,158497,2022,41,110840268,10,,X01,4930746,2310,0,5.0,2021-04-21,2021-06-07,0.0,0.0,FX0223,,0,,0,0.0
8,158498,2022,41,110840269,10,,X01,4930763,2310,0,500.0,2021-04-21,2021-06-07,0.0,0.0,FX0045,,0,,0,0.0
9,158499,2022,41,110840270,10,,X01,4930764,2310,0,500.0,2021-04-21,2021-06-07,0.0,0.0,FX0045,,0,,0,0.0
10,158500,2022,41,110840271,10,,X01,4930768,2310,0,15.0,2021-04-21,2021-06-07,0.0,0.0,FX0020,,0,,0,0.0
11,158501,2022,41,110840272,10,,X01,4930775,2310,0,5000.0,2021-04-21,2021-06-07,0.0,0.0,FX0275,,0,,0,0.0
12,158502,2022,41,110840274,10,,X01,4930782,2310,0,300.0,2021-04-21,2021-06-07,0.0,0.0,FX0020,,0,,0,0.0
13,158503,2022,41,110840275,10,,X01,4930783,2310,0,20.0,2021-04-21,2021-06-07,0.0,0.0,FX0020,,0,,0,0.0
14,158504,2022,41,110840276,10,,X01,4930785,2310,0,10000.0,2021-04-21,2021-06-07,0.0,0.0,FX0020,,0,,0,0.0
15,158505,2022,41,110840277,10,,X01,4930786,2310,0,10.0,2021-04-21,2021-06-07,0.0,0.0,FX0256,,0,,0,0.0
16,158506,2022,41,110840278,10,,X01,4930795,2310,0,7000.0,2021-04-21,2021-06-07,0.0,0.0,FX0020,,0,,0,0.0
17,158507,2022,41,110840279,10,,X01,4930796,2310,0,2500.0,2021-04-21,2021-06-07,0.0,0.0,FX0020,,0,,0,0.0
18,158508,2022,41,110840294,10,,X01,4930886,2310,0,10000.0,2021-04-21,2021-06-07,0.0,0.0,FX0566,,0,,0,0.0
19,158509,2022,41,110840322,10,,X01,4931161,2310,0,10.0,2021-04-21,2021-06-07,0.0,0.0,FX0020,,0,,0,0.0
20,158510,2022,41,110840323,10,,X01,4931162,2310,0,10.0,2021-04-21,2021-06-07,0.0,0.0,FX0090,,0,,0,0.0
21,158511,2022,41,110840324,10,,X01,4931163,2310,0,20.0,2021-04-21,2021-06-07,0.0,0.0,FX0597,,0,,0,0.0
22,158512,2022,41,110840341,10,,X01,4931496,2310,0,500.0,2021-04-21,2021-06-07,0.0,0.0,FX0256,,0,,0,0.0
23,158513,2022,41,110840342,10,,X01,4931498,2310,0,50.0,2021-04-21,2021-06-07,0.0,0.0,FX0308,,0,,0,0.0
24,158514,2022,41,110840343,10,,X01,4931499,2310,0,4.0,2021-04-21,2021-06-07,0.0,0.0,FX0597,,0,,0,0.0
25,158515,2022,41,110840344,10,,X01,4931500,2310,0,30.0,2021-04-21,2021-06-07,0.0,0.0,FX0303,,0,,0,0.0
26,158516,2022,41,110840345,10,,X01,4931501,2310,0,20.0,2021-04-21,2021-06-07,0.0,0.0,FX0303,,0,,0,0.0
27,158517,2022,41,110840346,10,,X01,4931516,2310,0,10.0,2021-04-21,2021-06-07,0.0,0.0,FX0256,,0,,0,0.0
28,158518,2022,41,110840347,10,,X01,4931529,2310,0,100.0,2021-04-21,2021-06-07,0.0,0.0,FX0045,,0,,0,0.0
29,158519,2022,41,110840348,10,,X01,4931532,2310,0,10.0,2021-04-21,2021-06-07,0.0,0.0,,,0,,0,0.0
30,158520,2022,41,110840349,10,,X01,4931535,2310,0,80.0,2021-04-21,2021-06-07,0.0,0.0,FX0256,,0,,0,0.0
31,158521,2022,41,110840350,10,,X01,4931538,2310,0,12.0,2021-04-21,2021-06-07,0.0,0.0,FX0256,,0,,0,0.0
32,158522,2022,41,110840351,10,,X01,4931544,2310,0,4.0,2021-04-21,2021-06-07,0.0,0.0,FX0303,,0,,0,0.0
33,158524,2022,41,110840353,10,,X01,4931547,2310,0,30.0,2021-04-21,2021-06-07,0.0,0.0,FX0149,,0,,0,0.0
34,158525,2022,41,110840354,10,,X01,4931549,2310,0,10.0,2021-04-21,2021-06-07,0.0,0.0,FX0256,,0,,0,0.0
35,158526,2022,41,110840355,10,,X01,4931550,2310,0,5000.0,2021-04-21,2021-06-07,0.0,0.0,FX0227,,0,,0,0.0
36,158527,2022,41,110840356,10,,X01,4931553,2310,0,40.0,2021-04-21,2021-06-07,0.0,0.0,FX0231,,0,,0,0.0
37,158528,2022,41,110840357,10,,X01,4931559,2310,0,1.0,2021-04-21,2021-06-07,0.0,0.0,FX0020,,0,,0,0.0
38,158529,2022,41,110840358,10,,X01,4931568,2310,0,50.0,2021-04-21,2021-06-07,0.0,0.0,FX0256,,0,,0,0.0
39,158530,2022,41,110840359,10,,X01,4931572,2310,0,20.0,2021-04-21,2021-06-07,0.0,0.0,FX0020,,0,,0,0.0
40,158531,2022,41,110840360,10,,X01,4931575,2310,0,3.0,2021-04-21,2021-06-07,0.0,0.0,FX0017,,0,,0,0.0
41,158532,2022,41,110840361,10,,X01,4931576,2310,0,10.0,2021-04-21,2021-06-07,0.0,0.0,FX0017,,0,,0,0.0
42,158533,2022,41,110840362,10,,X01,4931578,2310,0,10.0,2021-04-21,2021-06-07,0.0,0.0,FX0017,,0,,0,0.0
43,158534,2022,41,110840363,10,,X01,4931584,2310,0,15.0,2021-04-21,2021-06-07,0.0,0.0,FX0256,,0,,0,0.0
44,158535,2022,41,110840364,10,,X01,4931585,2310,0,50.0,2021-04-21,2021-06-07,0.0,0.0,FX0496,,0,,0,0.0
45,158536,2022,41,110840365,10,,X01,4931586,2310,0,2.0,2021-04-21,2021-06-07,0.0,0.0,FX0362,,0,,0,0.0
46,158537,2022,41,110840366,10,,X01,4931587,2310,0,100.0,2021-04-21,2021-06-07,0.0,0.0,FX0566,,0,,0,0.0
47,158538,2022,41,110840367,10,,X01,4931595,2310,0,50.0,2021-04-21,2021-06-07,0.0,0.0,FX0256,,0,,0,0.0
48,158539,2022,41,110840368,10,,X01,4931600,2310,0,100.0,2021-04-21,2021-06-07,0.0,0.0,FX0256,,0,,0,0.0
49,158540,2022,41,110840369,10,,X01,4931608,2310,0,20.0,2021-04-21,2021-06-07,0.0,0.0,FX0256,,0,,0,0.0
50,158541,2022,41,110840370,10,,X01,4931613,2310,0,1000.0,2021-04-21,2021-06-07,0.0,0.0,FX0017,,0,,0,0.0
51,158542,2022,41,110840371,10,,X01,4931615,2310,0,30.0,2021-04-21,2021-06-07,0.0,0.0,FX0045,,0,,0,0.0
52,158543,2022,41,110840372,10,,X01,4931619,2310,0,72.0,2021-04-21,2021-06-07,0.0,0.0,FX0597,,0,,0,0.0
53,158544,2022,41,110840373,10,,X01,4931620,2310,0,64.0,2021-04-21,2021-06-07,0.0,0.0,FX0597,,0,,0,0.0
54,158545,2022,41,110840374,10,,X01,4931622,2310,0,1500.0,2021-04-21,2021-06-07,0.0,0.0,,,0,,0,0.0
55,158546,2022,41,110840375,10,,X01,4931626,2310,0,100.0,2021-04-21,2021-06-07,0.0,0.0,FX0256,,0,,0,0.0
56,158547,2022,41,110840376,10,,X01,4931628,2310,0,100.0,2021-04-21,2021-06-07,0.0,0.0,FX0020,,0,,0,0.0
57,158548,2022,41,110840377,10,,X01,4931633,2310,0,5.0,2021-04-21,2021-06-07,0.0,0.0,FX0287,,0,,0,0.0
58,158549,2022,41,110840378,10,,X01,4931634,2310,0,1260.0,2021-04-21,2021-06-07,0.0,0.0,FX0020,,0,,0,0.0
59,158550,2022,41,110840379,10,,X01,4931637,2310,0,3.0,2021-04-21,2021-06-07,0.0,0.0,FX0288,,0,,0,0.0
60,158551,2022,41,110840380,10,,X01,4931656,2310,0,800.0,2021-04-21,2021-06-07,0.0,0.0,FX0223,,0,,0,0.0
61,158552,2022,41,110851391,10,,MA0,4930519,2400,0,6.0,2021-04-24,2020-11-16,0.0,0.0,,,0,,0,0.0
62,158580,2022,41,111216524,10,,MA0,4930465,2400,0,10.0,2021-05-08,2021-02-02,0.0,0.0,F05699,4600002213.0,790,,0,0.0
63,158581,2022,41,111216526,10,,MA0,4930519,2400,0,3.0,2021-05-08,2021-01-19,0.0,0.0,,,0,,0,0.0
64,158640,2022,41,111803874,10,,MA0,4931300,2400,0,5.0,2021-06-05,2020-11-16,0.0,0.0,,,0,,0,0.0
65,158641,2022,41,111803875,10,,MA0,4931300,2400,0,5.0,2021-06-05,2020-12-18,0.0,0.0,,,0,,0,0.0
66,158642,2022,41,111803877,10,,MA0,4930513,2400,0,3.0,2021-06-05,2021-05-20,0.0,0.0,F05699,4600002213.0,1210,,0,0.0
67,158643,2022,41,111871800,10,,MA0,4930465,2400,0,15.0,2021-06-12,2021-03-04,0.0,0.0,F05699,4600002213.0,790,,0,0.0
68,158644,2022,41,111871803,10,,MA0,4930490,2400,0,10.0,2021-06-12,2021-02-18,0.0,0.0,FM0137,,0,,0,0.0
69,158660,2022,41,112086330,10,,MA0,4931300,2400,0,4.0,2021-06-26,2021-02-17,0.0,0.0,,,0,,0,0.0
70,158690,2022,41,113573991,10,,MA0,4930513,2400,0,9.0,2021-08-07,2021-04-02,0.0,0.0,F05699,4600002213.0,1210,,0,0.0
71,158691,2022,41,113573992,10,,MA0,4930518,2400,0,17.0,2021-08-07,2021-05-20,0.0,0.0,F05699,4600002213.0,1240,,0,0.0
72,158692,2022,41,113573993,10,,MA0,4930564,2400,0,5.0,2021-08-07,2021-02-17,0.0,0.0,,,0,,0,0.0
73,158693,2022,41,113647021,10,,MA0,4930428,2400,0,34.0,2021-08-16,2021-06-15,0.0,0.0,F05699,4600002213.0,390,,0,0.0
74,158694,2022,41,113647022,10,,MA0,4930433,2400,0,63.0,2021-08-16,2021-05-20,0.0,0.0,F05699,4600002213.0,450,,0,0.0
75,158695,2022,41,113653081,10,,MA0,4931300,2400,0,21.0,2021-08-21,2021-04-06,0.0,0.0,,,0,,0,0.0
76,158699,2022,41,113738304,10,,MA0,4930465,2400,0,10.0,2021-08-23,2021-10-04,0.0,0.0,F05699,4600002213.0,790,,0,0.0
77,158700,2022,41,113754003,10,,D62,IS0029921H,2020,0,15.0,2021-08-28,2021-06-14,35.0,1.0,,,0,,0,525.0
78,158701,2022,41,113757330,10,,MA0,4930465,2400,0,14.0,2021-08-28,2021-04-02,0.0,0.0,F05699,4600002213.0,790,,0,0.0
79,158702,2022,41,113757331,10,,MA0,4930466,2400,0,18.0,2021-08-28,2021-04-02,0.0,0.0,F05699,4600002213.0,820,,0,0.0
80,158703,2022,41,113757332,10,,MA0,4930466,2400,0,5.0,2021-08-28,2021-07-05,0.0,0.0,F05699,4600002213.0,820,,0,0.0
81,158704,2022,41,113757335,10,,MA0,4930564,2400,0,10.0,2021-08-28,2021-05-20,0.0,0.0,,,0,,0,0.0
82,158705,2022,41,114035210,10,,D51,IS0056411H,2010,0,1.0,2021-09-04,2021-02-19,0.34,1.0,F00338,,0,4501141793.0,20,0.34
